team,rank,barthag,adjoe,adjde,adjoe_z,adjde_z,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,V38,V40,eFG%_z,eFG% Def_z,FTR_z,FTR Def_z,OR%_z,DR%_z,TO%_z,TO% Def._z,3P%_z,3pD%_z,2p%_z,2p%D_z,ft%_z,ft%D_z,3P rate_z,3P rate D_z,arate_z,arateD_z,V38_z,V40_z
Kansas,13,0.904520285790348,114.531691392741,94.1915632540197,1.37271314031329,1.85830624322187,52.3,46.9,30,32.2,28.8,28.3,17.2,20.1,34.8,31.5,52.4,46.7,72.4,72.3,34.1,35.8,60.9,46,10.4,7.5,0.659205325735915,1.34726797399408,-0.363315416029112,-0.0713802903776018,0.0977351637322181,0.0658116984316849,0.550759364046594,0.778925969706334,0.332609291274962,1.10346309261563,0.678578117235854,1.19195506849136,0.223154664712839,-0.262874025499687,-0.648078558721897,0.388219504922446,1.96979669138372,0.889597690203966,0.646650133876692,-0.870180689646848
Baylor,14,0.904481182190269,122.718540867482,100.928451284357,2.61509525742338,0.749792100979177,52.9,51.3,37.5,31.7,35.1,30.1,18.1,19.8,36.8,32,51.1,53.2,74.6,70.7,44.9,37.9,56.5,60.8,6.9,8.9,0.876381123565717,-0.279844621895029,1.26407224461461,0.0223644469851671,1.65421528865708,-0.551137566349693,0.099120096390916,0.65092681759977,1.17222801681608,0.888433512081237,0.282559055247727,-1.01265258542834,0.820177496336529,0.359536223217062,1.49130101488313,-0.118873929968541,1.11035470611367,-1.78996870969051,-0.773275540320227,0.00829731289293751
Marquette,15,0.896418404094232,120.882344569366,100.199319798002,2.33644625437016,0.869766273110184,56.8,52.1,27.4,29.3,26.7,31.3,15.2,22.9,35.4,35.9,59.5,51.1,71.4,70.1,41.1,37.6,59.5,59.2,9,9.4,2.28802380945942,-0.575683275693047,-0.927476471718937,0.472339186326455,-0.421091544576068,-0.962437076203946,1.55440218105921,1.97358472270093,0.584494908937297,-0.788797216087062,2.84145145578639,-0.300394728008132,-0.0482193496615673,0.592940066485847,0.738556350096174,-0.0464320106984006,1.6963378778887,-1.50028585564786,0.0786798641979243,0.322039456657147
Texas A&M,16,0.893712113458716,115.506084786707,95.9831417280719,1.52058063579236,1.56351285100855,49.2,47.4,46.3,35.4,36.3,30.2,18.2,21.2,32.5,32.2,49.5,46.7,76.2,70.7,34.6,46,53.4,59.9,8.2,10.8,-0.46286962971806,1.16236881537032,3.17354043310326,-0.671346609499318,1.95068769340467,-0.585412525504215,0.0489379555402842,1.24825619409707,-0.632952243097318,0.802421679867477,-0.204849021045352,1.19195506849136,1.25437591933558,0.359536223217062,-0.549033208092034,-2.07480575026234,0.504838761946132,-1.62702210429152,-0.245874575618515,1.20051745919693
Xavier,17,0.887756210378636,120.667368367201,100.807178376153,2.30382288808035,0.769746823873445,56.3,50.4,31.4,27.7,31.2,25.7,17.7,16.6,39.8,36.1,54.7,48.4,71.7,71.4,31.5,33.8,65.5,55.1,8.2,9.3,2.10704397793459,0.0529738636277456,-0.0595363860422834,0.772322345887313,0.690679973227405,0.95696063644923,0.299848659793439,-0.714397471536907,2.43165610512775,-0.874809048300822,1.37922722690716,0.615365374389284,0.0331928546507538,0.0872317394034821,-1.16311438199718,0.871165633390051,2.86830422143878,-0.757973542163584,-0.245874575618515,0.259291027904305
West Virginia,18,0.88664742877861,118.053070262063,98.7182215386444,1.90709430223798,1.11347202555186,51.9,50.7,40.8,39.4,33.8,29.1,18.6,21,35.2,34.3,51.4,50.3,73.9,72.8,36.3,34.9,50.4,50.4,8.7,6.3,0.514421460516045,-0.0579656315465133,1.98012281529785,-1.42130450840146,1.33303685018052,-0.208387974804483,-0.151790607862241,1.16292342602602,0.500533036383188,-0.10070255837699,0.373948069552679,-0.029058401371859,0.630215686274448,-0.457377228223672,-0.212279015950504,0.605545262732868,-0.081144409828904,0.0929698415866892,-0.0430280507332405,-1.62316183468095
Iowa St.,19,0.885746407982111,109.88262752795,91.9573542208818,0.667201963548656,2.22593181437683,50.8,49.5,28.1,39.9,32.7,26.8,19.3,25.3,33.6,33.2,50.9,49.2,67.2,71.4,34.2,46.5,55.6,57.9,10.7,7.7,0.116265831161409,0.385792349150517,-0.775586956725523,-1.51504924576423,1.0612704791619,0.579936085749499,-0.503065593816658,2.99757793955344,-0.171161944049705,0.372362518798682,0.221633045711092,0.344029047753012,-1.18799021003407,0.0872317394034821,-0.628269488595924,-2.19554228237925,0.934559754581159,-1.26491853673821,0.768358048807856,-0.744683832141164
Arkansas,20,0.884366907252313,112.526925306143,94.2813924125469,1.06848310131436,1.84352539898566,52,46.4,38.7,38.4,30.2,27.8,18.1,20.5,32.1,30.9,53.6,46.5,69,71.4,28.1,30.4,49.5,44.3,13.3,6.8,0.550617426821013,1.53216713261784,1.52445427031761,-1.23381503367593,0.443619635937744,0.237186494204288,0.099120096390916,0.949591505848418,-0.80087598820554,1.36149858925691,1.04413417445566,1.25978915015043,-0.699516984160143,0.0872317394034821,-1.83662276628024,1.69217405178498,-0.256939361361415,1.19738572262428,1.82315997821128,-1.30941969091674
Kansas St.,21,0.882056601332378,112.44125784578,94.3932854860883,1.05548277425308,1.82511407110236,51.6,47.4,37.3,36.9,31,29.1,19.8,20.9,34.5,29.5,51.4,49.2,74.9,69.2,35.7,36.7,64.4,55.7,7.4,10.4,0.405833561601146,1.16236881537032,1.22067524033078,-0.952580821587622,0.641267905769473,-0.208387974804483,-0.753976298069813,1.1202570419905,0.206666482443796,1.96358141475322,0.373948069552679,0.344029047753012,0.901589700648854,0.943045831389016,-0.331133436706337,0.170893747112022,2.65344372512126,-0.866604612429576,-0.570429015434953,0.949523744185564
Auburn,22,0.880123682383682,113.48825772519,95.425199246386,1.21436854964318,1.6553189087494,49.5,45.2,35,38.9,33.6,31.6,18.2,19.1,31.4,28.8,50.8,46.3,70.4,70.4,35.5,34.6,55.1,48.5,14,8.7,-0.35428173080316,1.97592511331487,0.721609691066706,-1.3275597710387,1.28362478272259,-1.06526195366751,0.0489379555402842,0.352262129351122,-1.09474254214493,2.26462282750138,0.191170040942774,1.3276232318095,-0.319593364035973,0.476238144851452,-0.370751576958283,0.677987182003008,0.836895892618653,0.436968230762331,2.10714511305067,-0.117199544612747
Memphis,23,0.87041599837255,115.068890367551,97.5056142873885,1.45423490295141,1.31299920797647,53,47.7,36,35,31.3,31.7,18.7,21.1,34.4,31.4,53.5,48.2,74.1,74.4,28.3,43.1,54.3,56,13.2,9,0.912577089870682,1.05142932019606,0.938594712485869,-0.596350819609104,0.715386006956371,-1.09953691282203,-0.201972748712871,1.20558981006154,0.16468554616674,1.14646900872251,1.01367116968735,0.683199456048351,0.684490489149326,-1.07978747694043,-1.7970046260283,-1.37453386398432,0.680633713478642,-0.920920147562572,1.78259067323423,0.0710457416457791
TCU,24,0.866735753618167,112.772628801204,95.8281277104554,1.10576943830119,1.58901946919782,50.5,48,34.3,29.6,32.5,30.6,17.2,22,29.6,31.1,53,48.7,70.1,70.5,29,34.8,58.5,56.6,12.2,9.6,0.00767793224650887,0.940489825021804,0.569720176073292,0.416092343908794,1.01185841170396,-0.722512362122298,0.550759364046594,1.58958726638124,-1.85039939513193,1.27548675704315,0.861356145845759,0.513614251900681,-0.401005568348298,0.437337504306657,-1.65834113514649,0.629692569156249,1.50101015396369,-1.02955121782856,1.37689762346368,0.44753631416283
Utah St.,25,0.863372643587363,118.682585376255,101.103068315786,2.00262535148182,0.721059925537986,56.3,48.5,35.3,29.2,27.4,24.6,17.4,16,39.2,35.4,54.5,46.1,77.4,74.7,41.9,34.8,62,47.5,8.8,7.3,2.10704397793459,0.755590666398042,0.786705197492454,0.491088133799008,-0.248149308473306,1.33398518714896,0.450395082345333,-0.970395775750035,2.17977048746542,-0.573767635552664,1.31830121737052,1.39545731346856,1.58002473658487,-1.19648939857482,0.897028911103953,0.629692569156249,2.18465718770123,0.618020014538985,-0.00245874575618507,-0.995677547152532
Kentucky,26,0.863278459090846,117.69621053421,100.269756858241,1.85293963070421,0.858176281253232,51.3,48.5,32.5,29.7,38.3,25.6,17.2,16.7,35.9,32.8,50.3,48,70.8,73.9,29.8,34.9,56.2,48.1,10.3,5.3,0.297245662686246,0.755590666398042,0.179147137518797,0.39734339643624,2.444808367984,0.991235595603751,0.550759364046594,-0.671731087501387,0.794399590322576,0.544386183226202,0.0388550171011864,0.75103353770742,-0.211043758286213,-0.885284274216442,-1.49986857413871,0.605545262732868,1.05175638893617,0.509388944272992,0.606080828899638,-2.25064612220937
Michigan St.,27,0.860429698613193,114.075984723145,97.3879724284779,1.30355811081136,1.33235646369081,51.9,47.9,25.6,28.9,27.3,25.3,16.5,14.9,40.1,30.9,47.8,48.9,76.4,72.2,33.2,38.5,58,52.3,7.8,9.1,0.514421460516045,0.977469656746557,-1.31804951027343,0.54733497621667,-0.272855342202272,1.09406047306731,0.902034350001011,-1.43972600014077,2.55759891395892,1.36149858925691,-0.72272010210675,0.445780170241615,1.30865072221046,-0.223973384954892,-0.826360189855648,-0.263757768508823,1.40334629200119,-0.251028547588953,-0.408151795526734,0.133794170398621
Duke,28,0.85514544832894,111.700690467713,95.7200687429795,0.943099168097379,1.60679991813861,50.2,46.2,29.9,23.1,36.8,26.1,18.4,16.8,32.9,30.6,50.6,46.4,76.8,76,35.3,34.9,55.6,47.8,12.4,9.9,-0.100909966668391,1.60612679606735,-0.385013918171029,1.63477392962478,2.0742178620495,0.819860799831146,-0.0514263261609775,-0.629064703465865,-0.465028497989096,1.49051633757755,0.13024403140614,1.29370619097996,1.41720032796022,-1.70219772565718,-0.410369717210228,0.605545262732868,0.934559754581159,0.563704479405989,1.45803623341779,0.635781600421356
Maryland,29,0.85463357046888,113.949526301922,97.6822143176554,1.28436761737785,1.28394074208097,51.5,47.6,34,27.3,29.7,27.2,16.4,18.3,32.7,31.8,53,47.5,73.7,73.5,37.4,32.2,45.6,47.1,9.9,9.5,0.369637595296178,1.08840915192082,0.504624669647542,0.847318135777528,0.320089467292913,0.442836249131414,0.952216490851641,0.0109310570669525,-0.548990370543205,0.974445344294995,0.861356145845759,0.920618741855089,0.575940883399566,-0.729681712037252,0.00562075543519329,1.25752253616413,-1.01871748466896,0.690440728049646,0.443803608991418,0.384787885409988
Boise St.,30,0.849899881840771,110.637283120038,95.1534184123152,0.781723503865303,1.70003879971409,51.8,46.9,30.2,27.3,26.9,23.8,16.9,17.6,35.7,30.3,50.8,47.8,74.5,68.9,37.9,36.4,42.7,44.9,8.3,9.1,0.478225494211081,1.34726797399408,-0.31991841174528,0.847318135777528,-0.371679477118136,1.60818486038513,0.701305786598486,-0.287733631181697,0.710437717768466,1.61953408589819,0.191170040942774,0.818867619366488,0.79304009489909,1.05974775302341,0.104666106065055,0.243335666382164,-1.5851678840515,1.08875465235828,-0.205305270641459,0.133794170398621
Indiana,31,0.846422044845814,114.279097749641,98.5166369831475,1.33438120004108,1.14664154382496,53.9,47.5,30.3,30.4,28.2,27.6,17.3,16.6,37.6,33,53,46.3,71.4,69.5,26.7,38.1,53.6,47.8,13.5,7.4,1.23834078661539,1.12538898364557,-0.298219909603363,0.266100764128365,-0.0505010386415787,0.305736412513331,0.500577223195965,-0.714397471536907,1.50807550703252,0.458374351012442,0.861356145845759,1.3276232318095,-0.0482193496615673,0.826343909754627,-2.11394974804386,-0.167168542815302,0.543904306731135,0.563704479405989,1.90429858816539,-0.93292911839969
Oklahoma St.,32,0.842889928549715,109.922450965227,94.9829838711713,0.673245304942347,1.72808277169847,50.2,46.4,32.7,31.1,31.7,28.9,20.6,19.2,31.8,32,51.8,45.4,69.9,74.8,39.5,37.9,51.7,52.9,13.8,7.3,-0.100909966668391,1.53216713261784,0.22254414180263,0.134858131820489,0.814210141872235,-0.139838056495442,-1.15543342487486,0.394928513386643,-0.926818797036708,0.888433512081237,0.495800088625948,1.6328765992753,-0.455280371223176,-1.23539003911961,0.421611228080615,-0.118873929968541,0.172781631273612,-0.359659617854945,2.02600650309656,-0.995677547152532
Virginia,33,0.841898976498741,111.409624889278,96.330538983901,0.898928981425497,1.50635073560323,51.5,48.7,34.5,25,25.8,24.9,13.7,19.8,35.9,34.4,50.2,46.8,70,75.1,36.6,39.5,67,52.8,13.1,11.2,0.369637595296178,0.681631002948538,0.613117180357124,1.27854392764626,-0.643445848136763,1.2311603096854,2.30713429381868,0.65092681759977,0.794399590322576,-0.14370847448387,0.00839201233287065,1.15803802766183,-0.428142969785737,-1.352091960754,-0.152851805572586,-0.505230832742626,3.16129580732629,-0.34155443947728,1.74202136825717,1.4515111742083
Rutgers,34,0.838297609559094,105.850554233811,91.7374985673396,0.0553211941548913,2.26210773122539,47.9,45.8,29.1,27.1,31.8,27.3,17.4,21.8,31.9,30.3,47.8,46.2,70.1,68.5,30.3,43.2,59.3,55.5,12.7,9.5,-0.933417191682632,1.75404612296636,-0.55860193530636,0.884816030722635,0.838916175601201,0.408561289976894,0.450395082345333,1.50425449831019,-0.884837860759653,1.61953408589819,-0.72272010210675,1.36154027263903,-0.401005568348298,1.2153503152026,-1.40082322350885,-1.3986811704077,1.6572723331037,-0.830394255674245,1.57974414834895,0.384787885409988
Florida Atlantic,35,0.836175729519178,114.143575053167,99.0588471882234,1.31381517215929,1.05742413696167,55.2,47,29.3,27.3,30.4,24.3,16.3,18.6,38,33.6,53.8,45.2,71.3,74.8,44.4,33.6,52.1,34.2,6.6,7.6,1.70888834857996,1.31028814226933,-0.515204931022527,0.847318135777528,0.493031703395676,1.43681006461252,1.00239863170227,0.138930209173516,1.67599925214075,0.200338854371165,1.1050601839923,1.70071068093437,-0.0753567510990102,-1.23539003911961,1.39225566425326,0.919460246236811,0.250912720843617,3.02600873876848,-0.894983455251392,-0.807432260894006
